Title: A Uniformly Selected Sample of Low-mass Black Holes in Seyfert 1 Galaxies
Authors: Dong X.-B., Ho L.C., Yuan W., Wang T.-G., Fan X., Zhou H., Jiang N. 
Table: The SDSS Sample
================================================================================
Byte-by-byte Description of file: apj436496t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  3 I3     ---   ID     Identifier from this paper
   5- 25 A21    ---   SDSS   Official SDSS name in J2000.0
  27- 32 F6.4   ---   z      SDSS pipeline redshift
  34- 38 F5.2   mag   gmag   Petrosian SDSS g band magnitude (1)
  40- 43 F4.2   mag   g-r    Petrosian SDSS (g-r) color
  45- 49 F5.3   mag   Ag     Galactic extinction in the g band
--------------------------------------------------------------------------------
Note (1): Uncorrected for Galactic extinction.
131 J111009.50$+$014802.6 0.1009 18.40 0.53 0.14  
132 J111031.61$+$022043.2 0.0795 18.08 0.66 0.14  
133 J111139.94$+$405816.5 0.0775 18.45 0.81 0.07  
134 J111330.25$+$484241.4 0.1105 18.03 0.53 0.06  
135 J111350.05$+$550338.6 0.0707 17.07 0.68 0.04  
136 J111402.17$+$020851.5 0.3079 19.69 0.49 0.14  
137 J111443.66$+$525834.3 0.0792 17.15 0.50 0.05  
138 J111644.65$+$402635.6 0.2021 20.37 0.62 0.05  
139 J112202.23$+$534253.6 0.0891 17.52 0.36 0.06  
140 J112242.74$+$414355.5 0.0447 18.51 0.76 0.07  
141 J112255.73$+$523825.3 0.0339 15.92 0.75 0.05  
142 J112309.17$+$433134.8 0.0792 17.96 0.45 0.08  
143 J112526.52$+$022039.1 0.0486 16.73 0.75 0.12  
144 J112613.04$+$105102.7 0.1130 18.49 0.65 0.15  
145 J112628.73$+$472453.9 0.0333 17.27 0.70 0.07  
146 J112637.74$+$513423.0 0.0264 16.02 0.67 0.04  
147 J112713.22$+$462530.6 0.1060 19.68 0.91 0.06  
148 J112718.75$+$585025.1 0.0878 16.91 0.76 0.06  
149 J113545.55$+$644005.3 0.1132 17.79 0.57 0.04  
150 J113638.38$+$424553.0 0.0711 17.56 0.64 0.09  
151 J113657.68$+$411318.5 0.0717 18.26 0.47 0.08  
152 J113711.45$+$123951.5 0.0800 17.10 0.67 0.12  
153 J114008.71$+$030711.4 0.0811 17.33 0.51 0.08  
154 J114107.56$-$024910.8 0.0287 15.61 0.67 0.11  
155 J114212.76$+$451037.6 0.3293 19.32 0.30 0.08  
156 J114330.98$+$643248.6 0.1235 18.29 0.27 0.10  
157 J114339.49$-$024316.3 0.0935 18.26 0.60 0.08  
158 J114343.77$+$550019.3 0.0271 17.48 0.34 0.04  
159 J114449.45$+$442300.5 0.1659 18.60 0.50 0.08  
160 J114633.99$+$100245.0 0.1243 18.72 0.63 0.14  
161 J114723.20$-$025004.7 0.1213 17.80 0.56 0.10  
162 J114851.62$+$514528.7 0.0676 18.51 0.71 0.07  
163 J115138.11$+$561331.9 0.0509 17.25 0.58 0.03  
164 J115341.78$+$461242.3 0.0244 15.14 0.64 0.11  
165 J115739.55$+$593414.3 0.1705 18.92 0.58 0.07  
166 J120449.71$+$510043.9 0.0826 17.55 0.49 0.07  
167 J121503.69$-$013210.6 0.1081 17.83 0.65 0.09  
168 J121511.09$+$450945.1 0.0551 16.72 0.71 0.05  
169 J121518.24$+$014751.2 0.0709 18.00 0.61 0.10  
170 J121629.13$+$601823.5 0.0602 17.88 0.70 0.06  
171 J121803.05$+$501728.3 0.1923 18.71 0.64 0.07  
172 J121828.57$+$533137.0 0.0635 17.03 0.74 0.09  
173 J121836.98$+$091323.6 0.0775 17.71 0.59 0.07  
174 J122342.81$+$581446.2 0.0145 16.09 0.63 0.05  
175 J122349.64$+$072657.9 0.0747 16.99 0.79 0.08  
176 J122658.41$+$421835.3 0.1388 18.13 0.63 0.13  
177 J122711.67$+$630646.9 0.0779 19.26 0.47 0.05  
178 J122844.83$+$654234.5 0.0891 17.84 0.59 0.07  
179 J123152.81$+$001033.7 0.1916 20.67 0.74 0.09  
180 J123349.92$+$634957.1 0.1334 19.15 0.64 0.05  
181 J124035.82$-$002919.5 0.0809 17.99 0.47 0.10  
182 J124118.74$+$010040.1 0.0899 17.85 0.54 0.06  
183 J124221.62$+$575304.0 0.1047 18.26 0.57 0.04  
184 J124226.30$+$521028.2 0.2350 19.27 0.23 0.06  
185 J124738.52$+$621243.1 0.1210 18.74 0.38 0.05  
186 J125055.28$-$015556.8 0.0814 18.23 0.37 0.09  
187 J125359.22$+$655907.6 0.0935 18.29 0.63 0.10  
188 J125359.62$+$462750.1 0.0617 17.90 0.76 0.06  
189 J125654.92$+$494054.4 0.1730 19.86 0.60 0.05  
190 J130030.38$+$010247.5 0.0676 17.09 0.67 0.10  
191 J130311.23$-$004532.7 0.1889 18.61 0.49 0.07  
192 J130716.99$+$450645.3 0.0840 18.51 0.76 0.06  
193 J130803.88$+$505226.7 0.0542 17.65 0.70 0.04  
194 J131009.44$+$023343.7 0.2167 19.18 0.42 0.11  
195 J131303.47$+$633235.2 0.1930 18.31 0.68 0.06  
196 J131305.81$+$012755.9 0.0294 16.03 0.77 0.17  
197 J131310.13$+$051942.2 0.0487 17.51 0.66 0.15  
198 J131533.29$+$122200.5 0.1464 18.02 0.66 0.11  
199 J131537.07$+$151955.3 0.1245 19.00 0.46 0.11  
200 J131558.14$+$135414.6 0.1520 19.08 0.45 0.08  
201 J131618.85$+$021407.5 0.0723 17.57 0.59 0.10  
202 J131715.12$+$484630.3 0.1311 18.77 0.75 0.04  
203 J131804.32$+$411734.6 0.0674 15.95 0.55 0.06  
204 J131926.53$+$105611.0 0.0643 17.29 0.52 0.09  
205 J132224.41$+$422643.4 0.0741 17.90 0.56 0.05  
206 J132428.24$+$044629.7 0.0214 16.21 0.73 0.11  
207 J132711.09$+$653618.1 0.1146 18.91 0.42 0.07  
208 J132834.37$-$030744.8 0.0852 17.70 0.81 0.15  
209 J132953.44$-$025523.4 0.1835 18.74 0.51 0.15  
210 J133704.91$+$022050.2 0.1130 18.13 0.73 0.09  
211 J133921.95$+$544527.7 0.1012 19.71 0.54 0.04  
212 J133928.50$+$403229.9 0.1179 18.29 0.53 0.02  
213 J134144.52$-$005832.8 0.1475 18.46 0.54 0.11  
214 J134249.27$+$482723.7 0.0912 17.53 0.40 0.04  
215 J134516.78$-$011054.8 0.1465 19.45 0.63 0.12  
216 J134632.14$+$642325.1 0.0241 15.80 0.55 0.09  
217 J134738.24$+$474301.9 0.0641 16.72 0.42 0.08  
218 J134814.89$+$021316.3 0.0683 17.94 0.44 0.10  
219 J135159.16$+$025034.0 0.0734 17.66 0.68 0.11  
220 J135724.00$+$654116.6 0.1421 19.12 0.68 0.07  
221 J135724.51$+$652505.9 0.1063 18.46 0.37 0.08  
222 J140040.57$-$015518.3 0.0250 16.06 0.53 0.25  
223 J140630.10$-$001939.6 0.1062 20.27 0.69 0.17  
224 J140702.44$+$135537.7 0.1344 18.65 0.80 0.09  
225 J141234.67$-$003500.1 0.1270 18.20 0.59 0.18  
226 J141325.86$+$434101.3 0.1667 18.27 0.59 0.03  
227 J141435.58$+$003312.6 0.1809 18.48 0.63 0.14  
228 J141515.40$+$043616.0 0.0553 18.46 0.86 0.11  
229 J141849.66$+$464943.4 0.1379 18.51 0.64 0.04  
230 J142119.13$+$631300.2 0.1344 19.28 0.69 0.06  
231 J142145.61$+$621713.8 0.1052 17.99 0.61 0.07  
232 J142449.48$+$012353.6 0.1076 18.65 0.45 0.11  
233 J142543.21$+$344952.9 0.1786 19.45 0.59 0.06  
234 J142732.21$+$343039.1 0.0686 16.37 0.63 0.06  
235 J143010.84$+$572202.1 0.1113 18.36 0.78 0.03  
236 J143047.53$+$565729.1 0.0922 17.90 0.75 0.04  
237 J143114.31$+$452705.9 0.1248 18.57 0.52 0.05  
238 J143310.55$+$525830.5 0.0474 17.69 0.84 0.03  
239 J143450.63$+$033842.6 0.0282 15.62 0.63 0.15  
240 J143451.39$-$022439.8 0.1507 18.22 0.64 0.20  
241 J143544.50$+$572427.9 0.2204 19.28 0.37 0.04  
242 J143552.31$+$341345.5 0.0450 18.15 0.67 0.06  
243 J143710.11$-$014054.5 0.0566 16.79 0.65 0.15  
244 J143713.55$+$545818.7 0.0933 17.76 0.65 0.05  
245 J144052.61$-$023506.3 0.0443 16.31 0.53 0.23  
246 J144108.70$+$351958.8 0.0792 17.13 0.49 0.03  
247 J144249.72$+$611137.8 0.0479 18.22 0.73 0.09  
248 J144705.47$+$003653.2 0.0955 19.57 0.60 0.18  
249 J144855.61$+$571039.0 0.1052 18.02 0.53 0.06  
250 J145751.91$+$000011.5 0.1872 19.28 0.62 0.21  
251 J150224.73$+$452353.9 0.0680 16.92 0.63 0.09  
252 J150648.86$+$341306.8 0.0882 16.68 0.40 0.06  
253 J150752.53$+$515111.1 0.0748 17.22 0.67 0.08  
254 J150835.15$-$013106.3 0.0708 18.03 0.61 0.26  
255 J151257.19$+$031136.4 0.2222 19.20 0.69 0.15  
256 J151928.18$+$333628.1 0.0816 17.41 0.47 0.08  
257 J152205.41$+$393441.3 0.0766 16.31 0.86 0.09  
258 J152325.78$+$395902.3 0.1035 17.60 0.63 0.08  
259 J152347.00$+$541720.4 0.1594 18.08 0.73 0.05  
260 J153001.82$-$020415.1 0.0512 17.15 0.69 0.58  
261 J153425.59$+$040806.7 0.0395 18.66 0.56 0.17  
262 J153656.44$+$312248.1 0.0562 17.61 0.01 0.08  
263 J154150.86$+$310037.2 0.0686 16.28 0.60 0.11  
264 J154257.49$+$030653.3 0.0656 17.82 0.64 0.23  
265 J154623.62$+$475122.2 0.1033 18.37 0.58 0.05  
266 J154639.95$+$442930.0 0.1308 19.71 0.61 0.06  
267 J155711.97$+$390928.9 0.0982 17.71 0.63 0.05  
268 J160656.04$+$371917.8 0.0411 16.09 0.56 0.05  
269 J161227.84$+$010159.9 0.0971 18.58 0.52 0.42  
270 J161751.99$-$001957.4 0.0569 17.26 0.63 0.38  
271 J161809.38$+$361957.8 0.0340 16.41 0.56 0.05  
272 J161927.81$+$395832.3 0.0324 15.90 0.80 0.03  
273 J162021.15$+$301020.5 0.0964 17.38 0.57 0.11  
274 J162403.64$-$005410.4 0.0464 16.32 0.74 0.38  
275 J162542.16$-$004330.2 0.1217 19.02 0.67 0.34  
276 J162636.40$+$350242.1 0.0340 15.73 0.46 0.08  
277 J162824.49$+$452811.0 0.2279 19.31 0.59 0.02  
278 J163159.59$+$243740.3 0.0435 17.67 0.60 0.18  
279 J163843.84$+$473051.7 0.1792 19.81 0.45 0.08  
280 J164027.63$+$471256.5 0.1097 17.87 0.66 0.08  
281 J164902.89$+$223959.5 0.1042 21.33 0.15 0.22  
282 J164907.63$+$642422.3 0.1835 18.87 0.63 0.14  
283 J170812.29$+$601512.7 0.1445 18.15 0.76 0.08  
284 J170902.07$+$641728.1 0.0894 19.39 0.42 0.11  
285 J171457.68$+$544455.0 0.1414 19.36 0.63 0.07  
286 J172037.15$+$574856.3 0.1327 19.38 0.69 0.09  
287 J172759.14$+$542147.1 0.0995 19.27 0.58 0.15  
288 J205000.01$+$003124.8 0.1638 19.25 0.59 0.34  
289 J205822.14$-$065004.4 0.0738 18.35 0.38 0.22  
290 J210226.54$+$000702.3 0.0516 17.67 0.70 0.28  
291 J211145.90$+$093813.7 0.1391 18.87 0.99 0.39  
292 J211438.55$+$111321.2 0.0844 18.84 0.90 0.35  
293 J212329.42$-$081255.0 0.1169 19.35 0.68 0.32  
294 J213418.32$-$064335.3 0.0517 18.08 0.72 0.14  
295 J221139.16$-$010535.1 0.0926 17.33 0.66 0.37  
296 J221458.23$-$082020.6 0.1236 18.73 0.66 0.23  
297 J223811.33$+$143343.4 0.1566 18.71 0.53 0.29  
298 J225630.07$+$141020.7 0.1509 19.46 0.57 0.18  
299 J230649.78$+$005023.4 0.0607 17.30 0.71 0.21  
300 J230920.84$+$150134.8 0.0995 18.48 1.09 1.08  
301 J230942.43$-$103529.5 0.2381 20.73 0.58 0.12  
302 J233108.07$-$094711.8 0.2529 19.42 0.44 0.10  
303 J233837.09$-$002810.5 0.0356 16.88 0.61 0.12  
304 J233853.83$+$004812.5 0.1697 18.73 0.54 0.14  
305 J234143.38$-$005518.6 0.0813 17.46 0.74 0.11  
306 J234807.14$-$091202.6 0.0777 18.49 0.68 0.13  
307 J235059.66$+$145706.3 0.1349 18.57 0.67 0.13  
308 J235129.98$+$000403.7 0.0992 18.14 0.70 0.14  
309 J235833.21$+$003453.5 0.0756 17.49 0.55 0.12  
