Search Results

Searching for first_cat sources within 30.0000 arcsec of 309 input positions

21 sources found

                                                                                    FIRST Catalog Database (2014dec17)                                                                                    
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Do  Get Get  | Search     RA (2000)   Dec (2000)   Side   Peak     Int.     RMS   Deconv.  Deconv.  Deconv  Meas.     Meas.      Meas.    Field Name   SDSS Closest SDSS  SD 2MAS Closest 2MASS  Mean      Mean      RMS    
NED OPT FIMG |          07 50 38.120 +31 57 37.10                          0.151 
NED OPT FIMG |          07 57 09.340 +42 36 16.40                          0.145 
NED OPT FIMG |          08 03 03.630 +51 57 29.10                          0.150 
NED OPT FIMG |          08 03 52.990 +26 31 23.40                          0.145 
NED OPT FIMG |          08 05 11.910 +06 41 19.50                          0.150 
NED OPT FIMG |          08 05 37.370 +36 25 22.10                          0.149 
NED OPT FIMG |          08 06 29.810 +24 19 55.70                          0.605 
NED OPT FIMG |          08 07 43.730 +34 54 54.40                          0.133 
NED OPT FIMG |          08 09 07.570 +44 16 41.50                          0.141 
NED OPT FIMG |          08 12 07.990 +32 04 53.10                          0.141 
NED OPT FIMG |          08 15 47.550 +32 42 13.70                          0.150 
NED OPT FIMG |          08 15 50.240 +25 06 41.00                          0.154 
NED OPT FIMG |          08 18 25.150 +47 29 50.30                          0.142 
NED OPT FIMG |          08 18 56.380 +45 49 08.20                          0.134 
NED OPT FIMG |          08 20 50.030 +24 39 09.10                          0.132 
NED OPT FIMG |          08 23 25.920 +06 51 06.50                          0.151 
NED OPT FIMG |          08 23 26.680 +51 36 05.20                          0.150 
NED OPT FIMG |          08 25 02.160 +08 26 14.90                          0.143 
NED OPT FIMG |          08 27 37.400 +27 29 17.30                          0.141 
NED OPT FIMG |          08 29 12.680 +50 06 52.30                          0.135 
NED OPT FIMG |          08 30 19.660 +08 47 25.10                          0.161 
NED OPT FIMG |          08 32 11.580 +50 24 08.60                          0.145 
NED OPT FIMG |          08 33 46.040 +06 20 26.60                          0.150 
NED OPT FIMG |          08 38 03.680 +54 06 42.10                          0.139 
NED OPT FIMG |          08 39 28.450 +08 21 02.40                          0.143 
NED OPT FIMG |          08 40 11.280 +07 59 15.80                          0.137 
NED OPT FIMG |          08 43 03.600 +36 10 11.20                          0.148 
NED OPT FIMG |          08 47 19.800 +38 00 43.70                          0.141 
NED OPT FIMG |          08 47 39.610 +36 04 44.40                          0.126 
NED OPT FIMG |          08 52 59.110 +41 22 03.00                          0.138 
NED OPT FIMG |          08 56 55.290 +44 26 53.40                          0.129 
NED OPT FIMG |          08 58 36.040 +35 36 34.30                          0.140 
NED OPT FIMG |          08 59 06.360 +54 21 50.20                          0.141 
NED OPT FIMG |          09 00 31.760 +43 27 09.00                          0.133 
NED OPT FIMG |          09 03 20.970 +04 57 38.10                          0.152 
NED OPT FIMG |          09 04 31.220 +07 53 30.90                          0.146 
NED OPT FIMG |          09 07 31.060 +44 54 28.50                          0.136 
NED OPT FIMG |          09 10 45.910 +48 03 39.40                          0.134 
NED OPT FIMG |          09 11 02.330 +55 00 23.10                          0.148 
NED OPT FIMG |          09 15 36.770 +06 25 40.60                          0.152 
NED OPT FIMG |          09 16 24.820 +38 34 33.50                          0.222 
NED OPT FIMG |          09 18 58.970 +05 38 44.30                          0.154 
NED OPT FIMG |          09 19 17.890 +05 09 53.00                          0.148 
NED OPT FIMG |          09 22 09.740 -00 32 22.40                          0.147 
NED OPT FIMG |          09 24 11.460 +02 23 21.80                          0.151 
NED OPT FIMG |          09 25 47.320 +05 02 31.70                          0.137 
NED OPT FIMG |          09 27 00.530 +08 43 29.50                          0.135 
NED OPT FIMG |          09 33 08.890 +53 47 49.00                          0.151 
NED OPT FIMG |          09 37 49.850 +58 55 22.70                          0.150 
NED OPT FIMG |          09 38 29.390 +03 48 26.70                          0.148 
NED OPT FIMG |          09 38 36.000 +38 36 13.40                          0.134 
NED OPT FIMG |          09 42 58.550 +08 38 10.10                          0.154 
NED OPT FIMG |          09 43 10.120 +60 45 59.20                          0.147 
NED OPT FIMG |          09 45 29.370 +09 36 10.40                          0.158 
NED OPT FIMG |          09 50 53.970 +63 21 45.70                          0.143 
NED OPT FIMG |          09 51 51.820 +06 01 43.70                          0.152 
NED OPT FIMG |          09 53 06.810 +36 50 28.10                          0.138 
NED OPT FIMG |          09 53 30.540 +56 26 53.50                          0.186 
NED OPT FIMG |          09 54 38.790 +40 32 04.30                          0.142 
NED OPT FIMG |          09 55 53.980 +53 48 46.10                          0.148 
NED OPT FIMG |          09 58 35.990 -00 59 42.60                          0.142 
NED OPT FIMG |          10 06 17.520 +36 57 03.10                          0.147 
NED OPT FIMG |          10 07 11.440 +58 17 14.30                          0.137 
NED OPT FIMG |          10 11 08.400 +00 29 08.70                          0.153 
NED OPT FIMG |          10 16 27.340 -00 07 14.60                          0.139 
NED OPT FIMG |          10 17 48.420 +40 51 16.40                          0.161 
NED OPT FIMG |          10 21 24.880 +01 27 20.30                          0.150 
NED OPT FIMG |          10 22 12.610 +38 37 42.80                          0.154 
NED OPT FIMG |          10 22 35.150 +02 29 30.50                          0.138 
NED OPT FIMG |          10 23 48.440 +04 05 53.70                          0.154 
NED OPT FIMG |          10 27 03.910 +48 50 23.90                          0.149 
NED OPT FIMG |          10 32 34.850 +65 02 27.90                         -1.000*
NED OPT FIMG |          10 32 47.190 +11 45 21.20                          0.133 
NED OPT FIMG |          10 36 18.780 +05 19 58.10                          0.145 
NED OPT FIMG |          10 39 28.730 +56 20 58.20                          0.191 
NED OPT FIMG |          10 42 10.030 -00 18 14.80                          0.145 
NED OPT FIMG |          10 48 42.450 +41 33 02.30                          0.148 
NED OPT FIMG |          10 51 31.910 +50 42 23.20                          0.139 
NED OPT FIMG |          10 54 24.290 +45 41 30.50                          0.136 
NED OPT FIMG |          10 57 55.670 +48 25 02.00                          0.143 
NED OPT FIMG |          11 00 36.570 +06 41 21.40                          0.152 
NED OPT FIMG |          11 00 39.660 +08 59 27.10                          0.187 
NED OPT FIMG |          11 02 58.740 +46 38 11.50                          0.135 
NED OPT FIMG |          11 05 36.350 +09 18 05.60                          0.152 
NED OPT FIMG |          11 05 40.460 +03 53 09.10                          0.139 
NED OPT FIMG |          11 07 21.890 +12 48 10.40                          0.139 
NED OPT FIMG |          11 07 53.160 -00 07 17.70                          0.146 
NED OPT FIMG |          11 08 17.770 +10 54 43.00                          0.184 
NED OPT FIMG |          11 10 09.500 +01 48 02.60                          0.153 
NED OPT FIMG |          11 10 31.610 +02 20 43.20                          0.148 
NED OPT FIMG |          11 11 39.940 +40 58 16.50                          0.163 
NED OPT FIMG |          11 13 30.250 +48 42 41.40                          0.130 
NED OPT FIMG |          11 13 50.050 +55 03 38.60                          0.150 
NED OPT FIMG |          11 14 02.170 +02 08 51.50                          0.154 
NED OPT FIMG |          11 14 43.660 +52 58 34.30                          0.133 
NED OPT FIMG |          11 16 44.650 +40 26 35.60                          0.168 
NED OPT FIMG |          11 22 02.230 +53 42 53.60                          0.148 
NED OPT FIMG |          11 23 09.170 +43 31 34.80                          0.141 
NED OPT FIMG |          11 25 26.520 +02 20 39.10                          0.160 
NED OPT FIMG |          11 26 13.040 +10 51 02.70                          0.149 
NED OPT FIMG |          11 26 28.730 +47 24 53.90                          0.136 
NED OPT FIMG |          11 26 37.740 +51 34 23.00                          0.134 
